,Year,Claims
0,1967,11733000
1,1968,10303000
2,1969,10239000
3,1970,15202000
4,1971,15285000
5,1972,13926000
6,1973,12724000
7,1974,18501000
8,1975,24640000
9,1976,19826000
10,1977,19926000
11,1978,17827000
12,1979,19974000
13,1980,24948000
14,1981,23444000
15,1982,30121100
16,1983,23407600
17,1984,19332200
18,1985,20295300
19,1986,19563800
20,1987,16959947
21,1988,16582769
22,1989,17098589
23,1990,20124070
24,1991,23274858
25,1992,21181883
26,1993,17800046
27,1994,18164699
28,1995,18566146
29,1996,18270786
30,1997,16718587
31,1998,16487857
32,1999,15543986
33,2000,16097459
34,2001,20934225
35,2002,20945130
36,2003,20754714
37,2004,17746018
38,2005,17681913
39,2006,16189845
40,2007,16699862
41,2008,21605784
42,2009,29462055
43,2010,23696035
44,2011,21682851
45,2012,19355787
46,2013,17774993
47,2014,15941519
48,2015,14401738
49,2016,13986711
50,2017,12642045
51,2018,11486539
52,2019,11312985
53,2020,54768610
